,Visits,Mind Exercise,FamilyInt,Color MCGDM,Weight MCGDM,Color FCS,MV FCS
2249,14,54,28,Blue,0.36743733478429114,Blue,0.8000000000000002
2250,14,60,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2251,14,60,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2252,14,60,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2253,14,60,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2254,14,60,8,Blue,0.3661678271755941,Blue,0.8
2255,14,60,10,Blue,0.3669698187503962,Blue,0.8
2256,14,60,12,Blue,0.36774344489978583,Blue,0.8
2257,14,60,14,Blue,0.36848885344143595,Blue,0.8
2258,14,60,16,Blue,0.36848885344143595,Blue,0.8
2259,14,60,18,Blue,0.36848885344143595,Blue,0.8
2260,14,60,20,Blue,0.36848885344143595,Blue,0.8
2261,14,60,22,Blue,0.36848885344143595,Blue,0.8
2262,14,60,24,Blue,0.36848885344143595,Blue,0.8
2263,14,60,26,Blue,0.36848885344143595,Blue,0.8
2264,14,60,28,Blue,0.36848885344143595,Blue,0.8
2265,14,66,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2266,14,66,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2267,14,66,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2268,14,66,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2269,14,66,8,Blue,0.3661678271755941,Blue,0.8
2270,14,66,10,Blue,0.3669698187503962,Blue,0.8
2271,14,66,12,Blue,0.36774344489978583,Blue,0.8
2272,14,66,14,Blue,0.36848885344143595,Blue,0.8
2273,14,66,16,Blue,0.36848885344143595,Blue,0.8
2274,14,66,18,Blue,0.36848885344143595,Blue,0.8
2275,14,66,20,Blue,0.36848885344143595,Blue,0.8
2276,14,66,22,Blue,0.36848885344143595,Blue,0.8
2277,14,66,24,Blue,0.36848885344143595,Blue,0.8
2278,14,66,26,Blue,0.36848885344143595,Blue,0.8
2279,14,66,28,Blue,0.36848885344143595,Blue,0.8
2280,14,72,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2281,14,72,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2282,14,72,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2283,14,72,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2284,14,72,8,Blue,0.3661678271755941,Blue,0.8
2285,14,72,10,Blue,0.3669698187503962,Blue,0.8
2286,14,72,12,Blue,0.36774344489978583,Blue,0.8
2287,14,72,14,Blue,0.36848885344143595,Blue,0.8
2288,14,72,16,Blue,0.36848885344143595,Blue,0.8
2289,14,72,18,Blue,0.36848885344143595,Blue,0.8
2290,14,72,20,Blue,0.36848885344143595,Blue,0.8
2291,14,72,22,Blue,0.36848885344143595,Blue,0.8
2292,14,72,24,Blue,0.36848885344143595,Blue,0.8
2293,14,72,26,Blue,0.36848885344143595,Blue,0.8
2294,14,72,28,Blue,0.36848885344143595,Blue,0.8
2295,14,78,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2296,14,78,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2297,14,78,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2298,14,78,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2299,14,78,8,Blue,0.3661678271755941,Blue,0.8
2300,14,78,10,Blue,0.3669698187503962,Blue,0.8
2301,14,78,12,Blue,0.36774344489978583,Blue,0.8
2302,14,78,14,Blue,0.36848885344143595,Blue,0.8
2303,14,78,16,Blue,0.36848885344143595,Blue,0.8
2304,14,78,18,Blue,0.36848885344143595,Blue,0.8
2305,14,78,20,Blue,0.36848885344143595,Blue,0.8
2306,14,78,22,Blue,0.36848885344143595,Blue,0.8
2307,14,78,24,Blue,0.36848885344143595,Blue,0.8
2308,14,78,26,Blue,0.36848885344143595,Blue,0.8
2309,14,78,28,Blue,0.36848885344143595,Blue,0.8
2310,14,84,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2311,14,84,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2312,14,84,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2313,14,84,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2314,14,84,8,Blue,0.3661678271755941,Blue,0.8
2315,14,84,10,Blue,0.3669698187503962,Blue,0.8
2316,14,84,12,Blue,0.36774344489978583,Blue,0.8
2317,14,84,14,Blue,0.36848885344143595,Blue,0.8
2318,14,84,16,Blue,0.36848885344143595,Blue,0.8
2319,14,84,18,Blue,0.36848885344143595,Blue,0.8
2320,14,84,20,Blue,0.36848885344143595,Blue,0.8
2321,14,84,22,Blue,0.36848885344143595,Blue,0.8
2322,14,84,24,Blue,0.36848885344143595,Blue,0.8
2323,14,84,26,Blue,0.36848885344143595,Blue,0.8
2324,14,84,28,Blue,0.36848885344143595,Blue,0.8
2325,14,90,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2326,14,90,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2327,14,90,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2328,14,90,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2329,14,90,8,Blue,0.3661678271755941,Blue,0.8
2330,14,90,10,Blue,0.3669698187503962,Blue,0.8
2331,14,90,12,Blue,0.36774344489978583,Blue,0.8
2332,14,90,14,Blue,0.36848885344143595,Blue,0.8
2333,14,90,16,Blue,0.36848885344143595,Blue,0.8
2334,14,90,18,Blue,0.36848885344143595,Blue,0.8
2335,14,90,20,Blue,0.36848885344143595,Blue,0.8
2336,14,90,22,Blue,0.36848885344143595,Blue,0.8
2337,14,90,24,Blue,0.36848885344143595,Blue,0.8
2338,14,90,26,Blue,0.36848885344143595,Blue,0.8
2339,14,90,28,Blue,0.36848885344143595,Blue,0.8
2340,14,96,0,Orange,0.3502225666470679,Orange,0.6000000000000001
2341,14,96,2,Orange,0.3502225666470679,Orange,0.6000000000000001
2342,14,96,4,Blue,0.3490571895823012,Orange,0.6857191839533688
2343,14,96,6,Blue,0.36277508861605723,Blue,0.8000000000000002
2344,14,96,8,Blue,0.3661678271755941,Blue,0.8
2345,14,96,10,Blue,0.3669698187503962,Blue,0.8
2346,14,96,12,Blue,0.36774344489978583,Blue,0.8
2347,14,96,14,Blue,0.36848885344143595,Blue,0.8
2348,14,96,16,Blue,0.36848885344143595,Blue,0.8
2349,14,96,18,Blue,0.36848885344143595,Blue,0.8
2350,14,96,20,Blue,0.36848885344143595,Blue,0.8
2351,14,96,22,Blue,0.36848885344143595,Blue,0.8
2352,14,96,24,Blue,0.36848885344143595,Blue,0.8
2353,14,96,26,Blue,0.36848885344143595,Blue,0.8
2354,14,96,28,Blue,0.36848885344143595,Blue,0.8
2355,14,102,0,Orange,0.3502225666470679,Orange,0.6000000000000001
