,Visits,Mind Exercise,FamilyInt,Color MCGDM,Weight MCGDM,Color FCS,MV FCS
119,2,90,10,Blue,0.33577133780348345,Orange,0.6857200000000001
120,2,96,4,Red,0.34693092877803205,Orange,0.3714383679067376
121,2,96,6,Red,0.3430014475238077,Orange,0.6000000000000001
122,2,96,8,Red,0.3416909648758741,Orange,0.62858
123,2,96,10,Blue,0.33577133780348345,Orange,0.6857200000000001
124,2,102,4,Red,0.34693092877803205,Orange,0.3714383679067376
125,2,102,6,Red,0.3430014475238077,Orange,0.6000000000000001
126,2,102,8,Red,0.3416909648758741,Orange,0.62858
127,2,102,10,Blue,0.33577133780348345,Orange,0.6857200000000001
128,2,108,4,Red,0.34693092877803205,Orange,0.3714383679067376
129,2,108,6,Red,0.3430014475238077,Orange,0.6000000000000001
130,2,108,8,Red,0.3416909648758741,Orange,0.62858
131,2,108,10,Blue,0.33577133780348345,Orange,0.6857200000000001
132,2,114,4,Red,0.34693092877803205,Orange,0.3714383679067376
133,2,114,6,Red,0.3430014475238077,Orange,0.6000000000000001
134,2,114,8,Red,0.3416909648758741,Orange,0.62858
135,2,114,10,Blue,0.33577133780348345,Orange,0.6857200000000001
136,4,0,8,Red,0.345910618747209,Orange,0.3315383730295709
137,4,0,10,Red,0.34018439025730257,Orange,0.4
138,4,0,12,Red,0.3379776856998327,Orange,0.4085075960679178
139,4,6,8,Red,0.345910618747209,Orange,0.3315383730295709
140,4,6,10,Red,0.34018439025730257,Orange,0.4
141,4,6,12,Red,0.3379776856998327,Orange,0.4085075960679178
142,4,12,8,Red,0.345910618747209,Orange,0.3315383730295709
143,4,12,10,Red,0.34018439025730257,Orange,0.4
144,4,12,12,Red,0.3379776856998327,Orange,0.4085075960679178
145,4,18,8,Red,0.34708953942276805,Orange,0.3890691519963181
146,4,18,10,Red,0.3421018903565805,Orange,0.4428595919766845
147,4,18,12,Red,0.3404241323541517,Orange,0.4531903485254692
148,4,24,6,Red,0.34529379482588324,Orange,0.3714383679067376
149,4,24,8,Red,0.3406103028614324,Orange,0.4465999309630653
150,4,30,6,Red,0.34529379482588324,Orange,0.3714383679067376
151,4,30,8,Red,0.3406103028614324,Orange,0.4465999309630653
152,4,36,4,Red,0.3521581572002981,Orange,0.4017734827165084
153,4,36,6,Red,0.3412112170477679,Orange,0.5050950879690838
154,4,36,8,Red,0.3367467571574236,Orange,0.5767444851758956
155,4,42,4,Red,0.3508494361102705,Orange,0.40769869842149
156,4,42,6,Red,0.3396501011443391,Orange,0.5285787759300533
157,4,42,8,Red,0.3354117130241859,Orange,0.584949948222299
158,4,42,10,Blue,0.3356083151562186,Orange,0.6142893879650266
159,4,42,12,Blue,0.33617260777746377,Orange,0.6234048257372654
160,4,42,14,Blue,0.3386077130516367,Orange,0.7000000000000002
161,4,42,16,Blue,0.3386077130516367,Orange,0.7000000000000002
162,4,42,18,Blue,0.3386077130516367,Orange,0.7000000000000002
